Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S147605098,Canada Goose,Branta canadensis,342,19,US-CO,Arapahoe,L5383864,Cherry Creek SP--Butterfly Hill area,39.6292054,-104.8624568,2023-08-19,07:05 AM,eBird - Traveling Count,79,1,.999,,1
S150472379,Canada Goose,Branta canadensis,342,12,US-CO,Arapahoe,L5383864,Cherry Creek SP--Butterfly Hill area,39.6292054,-104.8624568,2023-09-22,07:14 AM,eBird - Traveling Count,51,1,1.915,,1
S131524593,Canada Goose,Branta canadensis,342,2,US-CO,Arapahoe,L3997834,Cherry Creek SP--Lake Loop,39.6352908,-104.8598349,2023-03-19,05:36 PM,eBird - Traveling Count,90,1,2.657,,1
S132174438,Canada Goose,Branta canadensis,342,2,US-CO,Arapahoe,L3997834,Cherry Creek SP--Lake Loop,39.6352908,-104.8598349,2023-03-29,05:58 PM,eBird - Traveling Count,38,1,2.784,,1
S163033535,Canada Goose,Branta canadensis,342,6,US-CO,Arapahoe,L3997834,Cherry Creek SP--Lake Loop,39.6352908,-104.8598349,2024-02-26,03:06 PM,eBird - Traveling Count,23,1,.644,,1
S163747106,Canada Goose,Branta canadensis,342,2,US-CO,Arapahoe,L3997834,Cherry Creek SP--Lake Loop,39.6352908,-104.8598349,2024-03-04,05:10 PM,eBird - Traveling Count,21,1,.917,,1
S165642129,Canada Goose,Branta canadensis,342,2,US-CO,Arapahoe,L3997834,Cherry Creek SP--Lake Loop,39.6352908,-104.8598349,2024-03-22,06:16 PM,eBird - Traveling Count,37,1,.449,,1
S147300807,Canada Goose,Branta canadensis,342,21,US-CO,Arapahoe,L819883,Cherry Creek SP--Marina & nearby Dam Trail,39.640339,-104.8701239,2023-08-15,07:17 AM,eBird - Traveling Count,42,1,2.478,,1
S148370119,Canada Goose,Branta canadensis,342,7,US-CO,Arapahoe,L819883,Cherry Creek SP--Marina & nearby Dam Trail,39.640339,-104.8701239,2023-08-29,06:56 AM,eBird - Traveling Count,24,1,.417,,1
S153920769,Canada Goose,Branta canadensis,342,80,US-CO,Arapahoe,L819883,Cherry Creek SP--Marina & nearby Dam Trail,39.640339,-104.8701239,2023-11-06,04:02 PM,eBird - Traveling Count,36,1,.747,,1
